Summary code,Depth range (m),INPFC area,Area (nmi2),Area (km2) ,Strata included
911,1 - 100,Shumagin,"12,039","41,289",10-13
912,101 - 200,,"4,280","14,677",110-112
913,201 - 300,,813,"2,788",210
914,301 - 500,,738,"2,531",310
915,501 - 700,,585,"2,006",410
919,1 -700,,"18,455","63,291",
921,1 - 100,Chirikof,"7,591","26,035",20-22
922,101 - 200,,"6,954","23,850",120-122
923,201 - 300,,"3,350","11,490","230, 231"
924,301 - 500,,468,"1,604",320
925,501 - 700,,570,"1,953",420
929,1 -700,,"18,933","64,932",
931,1 - 100,Kodiak,"11,230","38,516","30-33, 35"
932,101 - 200,,"12,634","43,332",130-134
933,201 - 300,,"3,350","11,490",230-232
934,301 - 500,,849,"2,912",330
935,501 - 700,,509,"1,745",430
939,1 - 700,,"28,572","97,995",
941,1- 100,Yakutat,"4,858","16,661","240, 241"
942,101 - 200,,"8,568","29,383",140-143
943,201 - 300,,"1,507","5,170","240, 241"
944,301 - 500,,766,"2,628","340, 341"
945,501 - 700,,428,"1,469",440
949,1 - 700,,"16,127","55,311",
951,1 - 100,Southeastern,"1,909","6,546",50
952,101 - 200,,"3,232","11,084","150, 151"
953,201 - 300,,"1,473","5,052","250, 251"
954,301 - 500,,909,"3,117","350, 351"
955,501 - 700,,301,"1,033",450
959,1 - 700,,"7,824","26,833",
999,1 - 700,All Areas,"89,930","308,416",All
