"need_ctd","CRUISEJOIN","HAULJOIN","REGION","VESSEL","CRUISE","HAUL","HAUL_TYPE","PERFORMANCE","DURATION","DISTANCE_FISHED","NET_WIDTH","NET_MEASURED","NET_HEIGHT","STRATUM","START_LATITUDE","END_LATITUDE","START_LONGITUDE","END_LONGITUDE","STATIONID","GEAR_DEPTH","BOTTOM_DEPTH","BOTTOM_TYPE","SURFACE_TEMPERATURE","GEAR_TEMPERATURE","WIRE_LENGTH","GEAR","ACCESSORIES","SUBSAMPLE","ABUNDANCE_HAUL","AUDITJOIN","START_TIME","YEAR","RECALCULATED_SURFACE_TEMPERATURE","RECALCULATED_GEAR_TEMPERATURE","GEAR_TEMPERATURE_METHOD","SURFACE_TEMPERATURE_METHOD"
0,-754,-21461,"AI",148,202201,95,3,0,0.262,1.434,15.791,"N",6.944,621,51.96929,51.96809,-173.69273,-173.71322,"218-23","NA",95,"NA","NA","0",320,172,129,1,"Y",-21461,2022-07-04 08:22:56,2022,5.7,4.9,6,14
1,-754,-21129,"AI",148,202201,9,3,0,0.281,1.547,14.375,"Y",7.467,721,54.22721,54.24097,-165.78541,-165.78823,"323-74","NA",80,"NA","NA","NA",320,172,129,1,"Y",-21129,2022-06-11 16:19:16,2022,NA,NA,NA,NA
1,-754,-21132,"AI",148,202201,8,3,-1.2,0.086,0.357,15.875,"Y",6.518,721,54.34876,54.34822,-165.62849,-165.63379,"325-76","NA",85,"NA","NA","0",320,172,129,0,"N",-21132,2022-06-11 14:34:02,2022,6.1,4.7,NA,3
1,-754,-21237,"AI",148,202201,45,3,0,0.264,1.487,17.466,"Y",6.094,522,52.67108,52.68044,-170.84516,-170.82968,"256-39","148",154,"NA","NA","4.7",457,172,129,1,"Y",-21237,2022-06-19 18:52:46,2022,NA,4.7,6,NA
1,-754,-21809,"AI",148,202201,190,3,0,0.275,1.494,16.816,"Y",5.719,212,52.46468,52.46738,174.20407,174.22556,"57-35","0",118,"NA","NA","0",366,172,129,1,"Y",-21809,2022-07-31 11:47:04,2022,10.4,4.6,NA,3
1,-754,-21810,"AI",148,202201,191,3,0,0.266,1.485,17.265,"Y",5.645,213,52.50383,52.51024,174.42892,174.44802,"60-36","0",227,"NA","NA","0",594,172,129,1,"Y",-21810,2022-07-31 14:00:36,2022,10.1,4.3,NA,3
0,-753,-21176,"AI",176,202201,1,7,-6.23,0.111,0.558,15.244,"Y",7.46,722,53.9617,53.96614,-166.50883,-166.50494,"313-68","122",129,"NA","NA","4.5999999999999996",411,172,129,0,"N",-21176,2022-06-10 14:55:52,2022,7.5,NA,NA,14
1,-753,-21222,"AI",176,202201,29,3,0,0.233,1.331,16.544,"Y",6.582,794,52.92832,52.93167,-169.34852,-169.3296,"276-45","392",399,"NA","NA","0",960,172,129,1,"Y",-21222,2022-06-18 10:04:19,2022,6,3.9,NA,3
1,-753,-21268,"AI",176,202201,38,3,-6.3,0.033,0,10.912,"N",7.762,523,52.90885,52.90725,-170.47623,-170.47883,"261-45","NA",259,"NA","NA","0",686,172,129,0,"N",-21268,2022-06-19 18:57:00,2022,NA,NA,NA,NA
0,-753,-21458,"AI",176,202201,93,3,0,0.263,1.477,18.836,"Y",6.404,622,51.92279,51.92139,-173.67205,-173.69328,"218-22","109",115,"NA","NA","4.7",200,172,129,1,"Y",-21458,2022-07-04 12:02:27,2022,5.8,4.6,6,14
1,-753,-21560,"AI",176,202201,131,3,0,0.258,1.423,19.335,"Y",6.188,314,52.22954,52.21725,-179.64063,-179.64611,"139-29","342",348,"NA","NA","0",869,172,129,1,"Y",-21560,2022-07-14 18:16:45,2022,6.1,3.8,NA,3
